RowNum,Hijri Date,Hijri Month,Hijri Year,Day,Date,Fajr Begins,Fajr Jamah,Sunrise,Dhuhr Begins,Dhuhr Jamah,Mithl 1,Mithl 2,Asr Jamah,Maghrib Begins,Maghrib Jamah,Isha Begins,Isha Jamah
1,28,Jumāda Al-Ūlā,1443,Sat,1 Jan,6:26,6:45,8:03,12:09,1:15,1:46,2:17,1:55,4:05,4:05,5:42,8:00
2,29,Jumāda Al-Ūlā,1443,Sun,2 Jan,6:26,6:45,8:03,12:10,1:15,1:47,2:18,1:55,4:06,4:06,5:43,8:00
3,30,Jumāda Al-Ūlā,1443,Mon,3 Jan,6:26,6:45,8:03,12:10,1:15,1:48,2:19,1:55,4:08,4:08,5:45,8:00
4,1,Jumāda Al-Ākhirah,1443,Tue,4 Jan,6:26,6:45,8:03,12:11,1:15,1:49,2:20,1:55,4:09,4:09,5:46,8:00
5,2,Jumāda Al-Ākhirah,1443,Wed,5 Jan,6:25,6:45,8:02,12:11,1:15,1:50,2:21,1:55,4:10,4:10,5:47,8:00
6,3,Jumāda Al-Ākhirah,1443,Thu,6 Jan,6:25,6:45,8:02,12:11,1:15,1:51,2:22,1:55,4:11,4:11,5:48,8:00
7,4,Jumāda Al-Ākhirah,1443,Fri,7 Jan,6:25,6:45,8:02,12:12,1:30,1:52,2:23,2:00,4:12,4:12,5:49,8:00
8,5,Jumāda Al-Ākhirah,1443,Sat,8 Jan,6:24,6:45,8:01,12:12,1:30,1:53,2:25,2:00,4:14,4:14,5:51,8:00
9,6,Jumāda Al-Ākhirah,1443,Sun,9 Jan,6:24,6:45,8:01,12:13,1:30,1:55,2:26,2:00,4:15,4:15,5:52,8:00
10,7,Jumāda Al-Ākhirah,1443,Mon,10 Jan,6:23,6:45,8:00,12:13,1:30,1:56,2:27,2:00,4:17,4:17,5:54,8:00
11,8,Jumāda Al-Ākhirah,1443,Tue,11 Jan,6:23,6:45,8:00,12:14,1:30,1:57,2:29,2:00,4:18,4:18,5:55,8:00
12,9,Jumāda Al-Ākhirah,1443,Wed,12 Jan,6:22,6:45,7:59,12:14,1:30,1:58,2:30,2:00,4:19,4:19,5:56,8:00
13,10,Jumāda Al-Ākhirah,1443,Thu,13 Jan,6:21,6:45,7:58,12:14,1:30,2:00,2:32,2:00,4:21,4:21,5:58,8:00
14,11,Jumāda Al-Ākhirah,1443,Fri,14 Jan,6:20,6:45,7:57,12:15,1:30,2:01,2:33,2:10,4:22,4:22,5:59,8:00
15,12,Jumāda Al-Ākhirah,1443,Sat,15 Jan,6:20,6:45,7:57,12:15,1:30,2:02,2:34,2:10,4:24,4:24,6:01,8:00
16,13,Jumāda Al-Ākhirah,1443,Sun,16 Jan,6:19,6:45,7:56,12:15,1:30,2:03,2:36,2:10,4:25,4:25,6:02,8:00
17,14,Jumāda Al-Ākhirah,1443,Mon,17 Jan,6:18,6:45,7:55,12:16,1:30,2:05,2:37,2:10,4:27,4:27,6:04,8:00
18,15,Jumāda Al-Ākhirah,1443,Tue,18 Jan,6:17,6:45,7:54,12:16,1:30,2:06,2:39,2:10,4:29,4:29,6:06,8:00
19,16,Jumāda Al-Ākhirah,1443,Wed,19 Jan,6:16,6:45,7:53,12:16,1:30,2:07,2:41,2:10,4:30,4:30,6:07,8:00
