RowNum,Hijri Date,Hijri Month,Hijri Year,Day,Date,Fajr Begins,Fajr Jamah,Sunrise,Dhuhr Begins,Dhuhr Jamah,Mithl 1,Mithl 2,Asr Jamah,Maghrib Begins,Maghrib Jamah,Isha Begins,Isha Jamah,
1,8,Jumāda Al-Ākhirah,1444,Sun,1 Jan,6:26,6:45,8:03,12:09,1:15,1:46,2:16,1:55,4:05,4:05,5:42,8:00,
1,9,Jumāda Al-Ākhirah,1444,Mon,2 Jan,6:26,6:45,8:03,12:10,1:15,1:47,2:17,1:55,4:06,4:06,5:43,8:00,
1,10,Jumāda Al-Ākhirah,1444,Tue,3 Jan,6:26,6:45,8:03,12:10,1:15,1:48,2:18,1:55,4:07,4:07,5:44,8:00,
1,11,Jumāda Al-Ākhirah,1444,Wed,4 Jan,6:26,6:45,8:03,12:10,1:15,1:49,2:20,1:55,4:08,4:08,5:45,8:00,
1,12,Jumāda Al-Ākhirah,1444,Thu,5 Jan,6:25,6:45,8:02,12:11,1:15,1:50,2:21,1:55,4:10,4:10,5:47,8:00,
1,13,Jumāda Al-Ākhirah,1444,Fri,6 Jan,6:25,6:45,8:02,12:11,1:15,1:51,2:22,2:00,4:11,4:11,5:48,8:00,
1,14,Jumāda Al-Ākhirah,1444,Sat,7 Jan,6:25,6:45,8:02,12:12,1:15,1:52,2:23,2:00,4:12,4:12,5:49,8:00,
1,15,Jumāda Al-Ākhirah,1444,Sun,8 Jan,6:24,6:45,8:01,12:12,1:15,1:53,2:24,2:00,4:13,4:13,5:50,8:00,
1,16,Jumāda Al-Ākhirah,1444,Mon,9 Jan,6:24,6:45,8:01,12:13,1:15,1:54,2:26,2:00,4:15,4:15,5:52,8:00,
1,17,Jumāda Al-Ākhirah,1444,Tue,10 Jan,6:23,6:45,8:00,12:13,1:15,1:56,2:27,2:00,4:16,4:16,5:53,8:00,
1,18,Jumāda Al-Ākhirah,1444,Wed,11 Jan,6:23,6:45,8:00,12:13,1:15,1:57,2:28,2:00,4:18,4:18,5:55,8:00,
1,19,Jumāda Al-Ākhirah,1444,Thu,12 Jan,6:22,6:45,7:59,12:14,1:15,1:58,2:30,2:00,4:19,4:19,5:56,8:00,
1,20,Jumāda Al-Ākhirah,1444,Fri,13 Jan,6:21,6:45,7:58,12:14,1:15,1:59,2:31,2:10,4:20,4:20,5:57,8:00,
1,21,Jumāda Al-Ākhirah,1444,Sat,14 Jan,6:21,6:45,7:58,12:15,1:15,2:00,2:33,2:10,4:22,4:22,5:59,8:00,
1,22,Jumāda Al-Ākhirah,1444,Sun,15 Jan,6:20,6:45,7:57,12:15,1:15,2:02,2:34,2:10,4:24,4:24,6:01,8:00,
1,23,Jumāda Al-Ākhirah,1444,Mon,16 Jan,6:19,6:45,7:56,12:15,1:15,2:03,2:36,2:10,4:25,4:25,6:02,8:00,
1,24,Jumāda Al-Ākhirah,1444,Tue,17 Jan,6:18,6:45,7:55,12:16,1:15,2:04,2:37,2:10,4:27,4:27,6:04,8:00,
1,25,Jumāda Al-Ākhirah,1444,Wed,18 Jan,6:17,6:45,7:54,12:16,1:15,2:06,2:39,2:10,4:28,4:28,6:05,8:00,
1,26,Jumāda Al-Ākhirah,1444,Thu,19 Jan,6:16,6:45,7:53,12:16,1:15,2:07,2:40,2:10,4:30,4:30,6:07,8:00,
1,27,Jumāda Al-Ākhirah,1444,Fri,20 Jan,6:15,6:45,7:52,12:17,1:15,2:08,2:42,2:20,4:32,4:32,6:09,8:00,
1,28,Jumāda Al-Ākhirah,1444,Sat,21 Jan,6:14,6:45,7:51,12:17,1:15,2:10,2:43,2:20,4:33,4:33,6:10,8:00,
1,29,Jumāda Al-Ākhirah,1444,Sun,22 Jan,6:13,6:45,7:50,12:17,1:15,2:11,2:45,2:20,4:35,4:35,6:12,8:00,
1,1,Rajab,1444,Mon,23 Jan,6:12,6:45,7:49,12:17,1:15,2:12,2:47,2:20,4:37,4:37,6:14,8:00,
1,2,Rajab,1444,Tue,24 Jan,6:10,6:45,7:47,12:18,1:15,2:14,2:48,2:20,4:38,4:38,6:15,8:00,
1,3,Rajab,1444,Wed,25 Jan,6:09,6:45,7:46,12:18,1:15,2:15,2:50,2:20,4:40,4:40,6:17,8:00,
1,4,Rajab,1444,Thu,26 Jan,6:08,6:45,7:45,12:18,1:15,2:17,2:51,2:20,4:42,4:42,6:19,8:00,
1,5,Rajab,1444,Fri,27 Jan,6:07,6:45,7:44,12:18,1:30,2:18,2:53,2:30,4:44,4:44,6:21,8:00,
1,6,Rajab,1444,Sat,28 Jan,6:05,6:45,7:42,12:19,1:30,2:20,2:55,2:30,4:45,4:45,6:22,8:00,
1,7,Rajab,1444,Sun,29 Jan,6:04,6:45,7:41,12:19,1:30,2:21,2:57,2:30,4:47,4:47,6:24,8:00,
1,8,Rajab,1444,Mon,30 Jan,6:02,6:45,7:39,12:19,1:30,2:22,2:58,2:30,4:49,4:49,6:26,8:00,
1,9,Rajab,1444,Tue,31 Jan,6:01,6:45,7:38,12:19,1:30,2:24,3:00,2:30,4:51,4:51,6:28,8:00,
2,10,Rajab,1444,Wed,1 Feb,5:59,6:45,7:36,12:19,1:30,2:25,3:02,2:30,4:53,4:53,6:29,8:00,
2,11,Rajab,1444,Thu,2 Feb,5:58,6:45,7:35,12:19,1:30,2:27,3:03,2:30,4:54,4:54,6:29,8:00,
2,12,Rajab,1444,Fri,3 Feb,5:56,6:30,7:33,12:19,1:30,2:28,3:05,3:45,4:56,4:56,6:30,8:00,
2,13,Rajab,1444,Sat,4 Feb,5:55,6:30,7:32,12:20,1:30,2:30,3:07,3:45,4:58,4:58,6:32,8:00,
2,14,Rajab,1444,Sun,5 Feb,5:53,6:30,7:30,12:20,1:30,2:31,3:08,3:45,5:00,5:00,6:33,8:00,
